,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,distance
17489,2697031,Lovely Cocoon near the Eiffel Tower,13803812,Charles-Antoine,,Vaugirard,48.85467590390849,2.291065359585501,Entire home/apt,45,3,0,,,1,0,420.77
15734,11075859,1BR apartment by the Eiffel Tower!,3537598,Marie,,Vaugirard,48.854802749498404,2.2941595681546816,Entire home/apt,181,3,0,,,2,302,420.02
34822,12816341,EIFFEL AT LAST!,7515086,Niloufar,,Passy,48.862046902836866,2.2934777198410488,Entire home/apt,136,4,3,2016-06-26,3.0,1,346,417.63
4488,13091191,Renovated 1BR next to the Eiffel Tower,12136845,Alexandre,,Palais-Bourbon,48.85919588636693,2.297852090099384,Entire home/apt,59,3,0,,,15,28,417.25
3778,13748118,Bedroom Flat- Eiffel Tower view,78210527,Alice,,Palais-Bourbon,48.859008481443844,2.2978958730106345,Entire home/apt,50,16,0,,,1,116,416.34
4555,7970519,Appt Eiffel Tower Champs Elysees,14970185,Diana,,Palais-Bourbon,48.85763311424552,2.2978526767059693,Entire home/apt,385,2,0,,,3,62,415.4
35473,13671945,Large and Spacious Aprt in the 16th Arrondissement,669759,Oasis,,Passy,48.85910061492725,2.2867223406156807,Entire home/apt,456,3,0,,,4,361,415.06
4128,13401401,"Classic Paris apartment, 2 steps from Eiffel Tower",76281456,Thomas,,Palais-Bourbon,48.86025426643468,2.297186048272803,Entire home/apt,661,6,0,,,1,364,414.93
34385,12793099,VerygoodlocationnearbyEiffelTower,69662348,Frederic,,Passy,48.85883713087512,2.2867411307310594,Private room,150,5,0,,,1,365,409.0
18604,5381014,Lovely Flat Champ de Mars Eiffel,27893387,Lily,,Vaugirard,48.85478240076434,2.291097970753392,Entire home/apt,80,1,107,2016-06-18,6.63,1,213,408.69
4844,2021828,Eiffel Tower Flat,10391254,Sarah,,Palais-Bourbon,48.85514021665306,2.2949203487929224,Entire home/apt,80,4,9,2016-05-21,0.71,1,146,407.89
16175,10693119,Charmant studio face Tour Eiffel,2691964,Ayette,,Vaugirard,48.854903803313114,2.2904944686252176,Entire home/apt,115,1,13,2016-06-24,2.52,1,362,407.51
35722,8019782,Modern Appartment Eiffel Tour view,27646101,Gloria,,Passy,48.86199056484334,2.293031987225373,Entire home/apt,350,4,5,2016-06-23,0.53,1,358,405.86
4863,10669323,The Secret - Eiffel Tower,7608379,Alexis,,Palais-Bourbon,48.85867483085607,2.2978078596392657,Entire home/apt,501,1,0,,,35,251,405.26
4691,11883916,appartement au champs de Mars,18005412,Genevieve,,Palais-Bourbon,48.85530875488989,2.2952063662601767,Entire home/apt,150,5,0,,,1,47,402.18
16605,12999643,Eiffel tower & Champ de Mars 5 pers,1602690,Host In Paris,,Vaugirard,48.854840715450706,2.2926793012908244,Entire home/apt,195,7,0,,,34,77,393.88
4660,5204192,Eiffel Tower penthouse,7470339,Nathalie,,Palais-Bourbon,48.85938701873998,2.2974338309328584,Entire home/apt,130,3,19,2015-08-30,1.25,1,0,393.01
33638,13448744,Amazing Studio#Eiffel Tower,24262798,Frederic,,Passy,48.857188968989355,2.2872402928051985,Entire home/apt,40,3,0,,,2,45,392.02
34668,9858836,Studette 10m2 - Tour Eiffel - 16?me,7350234,Lolie,,Passy,48.85834461237156,2.286931905045524,Entire home/apt,28,7,4,2016-06-28,3.75,1,43,391.8
3979,12066652,Small studio next to Eiffel Tower,62090661,Thibaud,,Palais-Bourbon,48.859787865783424,2.297170443912397,Entire home/apt,60,2,11,2016-06-30,5.69,1,219,390.32
4058,936805,2BR2BA LUXURY - EIFFEL TOWER VIEW - 20,1251704,Paul,,Palais-Bourbon,48.85924334646409,2.297446200672361,Entire home/apt,300,1,14,2016-05-22,0.79,37,312,389.6
3948,6949804,Vue sur jardin priv? et Tour Eiffel,4302525,Florence,,Palais-Bourbon,48.85866502697199,2.297589400576263,Entire home/apt,181,3,4,2015-10-29,0.42,2,89,389.24
35743,1225548,PARIS 16 TOUR FFFEL ,5735222,Fatma,,Passy,48.85927541263109,2.2871500993436618,Entire home/apt,300,6,0,,,2,365,388.97
16442,3551243,Unique Eiffel Tower and Paris views,9773027,Sebastien,,Vaugirard,48.85488519439304,2.2924974482899514,Entire home/apt,376,5,2,2016-06-08,1.43,1,254,388.2
4424,5965961,In front of the Eiffel Tower,12582348,Nicolas & Rebecca,,Palais-Bourbon,48.858647549230994,2.297555335923537,Entire home/apt,104,3,2,2016-04-12,0.18,1,0,386.6
4622,8750015,190sqm 3-BDR with Eiffel Tower view,11593703,Rudy And Benjamin,,Palais-Bourbon,48.85896091815342,2.2974861677353853,Entire home/apt,560,3,0,,,56,6,385.9
19259,8273177,Luxury&Charming Eiffel Tower appart,23472509,Wassim,,Vaugirard,48.85510905664649,2.2939393610469145,Entire home/apt,110,4,2,2016-05-03,0.22,1,164,382.59
4293,4528008,"100m Eiffel Tower Apartment. 100m2, 3 bedrooms.",23155729,Aurelien,,Palais-Bourbon,48.85816125714668,2.2975025750660603,Entire home/apt,220,14,0,,,1,21,382.27
16226,4953681,1 bedroom Grenelle/Tour Eiffel,13013633,Benjamin,,Vaugirard,48.85516481845266,2.2904386752253454,Entire home/apt,95,3,5,2016-02-08,0.44,52,16,381.57
3698,5600640,Stunning Apt with Eiffel Tower view,14714757,Guest Trotter,,Palais-Bourbon,48.855763485827644,2.295670797036017,Entire home/apt,501,4,4,2016-01-01,0.43,30,38,381.46
4165,6070709,Studio Paris 7 au pied Tour Eiffel,31511046,Xavier,,Palais-Bourbon,48.85923176156767,2.297295507545925,Entire home/apt,85,7,7,2016-06-20,0.53,1,169,378.61
3713,10704819,Studio 10m2  100m de la Tour Eiffel,50643843,Charles Et Marie,,Palais-Bourbon,48.85530312791243,2.294440238342139,Entire home/apt,45,1,40,2016-07-01,7.64,2,273,376.0
5109,7605878,Apartment by the Eiffel Tower,36802665,Bipasana,,Palais-Bourbon,48.86073100425341,2.295970148514125,Entire home/apt,30,20,0,,,1,0,375.9
3630,4526010,2 minutes away from Eiffel Tower,14451733,Joseph,,Palais-Bourbon,48.85569808248085,2.295412004711752,Entire home/apt,89,5,7,2016-06-28,0.38,1,160,375.19
34974,1401570,Appartment 50m? next to Tour Eiffel,6783380,Thomas,,Passy,48.857544018381176,2.2873526856330315,Entire home/apt,100,4,23,2016-06-26,0.85,1,194,372.61
33849,278815,Charming Eiffel Tower Houseboat,1446883,Jean,,Passy,48.85789826221826,2.2872532878236647,Entire home/apt,200,4,98,2016-06-21,1.79,1,13,372.05
4754,5191204,Beautiful Eiffel Tower view,2288803,Fabien,,Palais-Bourbon,48.85933369143424,2.297122083686757,Entire home/apt,181,5,12,2016-04-26,0.79,155,279,369.46
4285,5050116,Charming appartment Eiffel Tower,26073131,Nathalie,,Palais-Bourbon,48.8558159715431,2.2954492795250343,Entire home/apt,89,2,6,2016-06-24,0.5,1,19,366.6
17700,4831641,Charming studio by the Eiffel tower,5205874,Mathilde,,Vaugirard,48.85508179599842,2.2924420838865966,Entire home/apt,69,2,19,2016-06-20,1.04,1,32,366.21
4483,770264,Flat Close to the Eillel Tower/78,3972699,Hanane,,Palais-Bourbon,48.859515174180714,2.296968327360144,Entire home/apt,111,2,1,2014-10-15,0.05,80,63,365.22
16084,2095577,Luxury Flat Eiffel Beaugrenelle,7034163,Mycity,,Vaugirard,48.85521263697743,2.2910404883411086,Entire home/apt,110,3,162,2016-06-26,5.29,2,257,363.13
4132,819177,Exceptionnal in front of the Eiffel,4302525,Florence,,Palais-Bourbon,48.85879060556178,2.297200829623192,Entire home/apt,430,2,27,2016-06-27,0.63,2,1,362.44
3542,1780713,Nice Eiffel Tower view,9347424,Mourad,,Palais-Bourbon,48.855444038503826,2.294458900927527,Entire home/apt,169,3,1,2015-09-07,0.1,2,28,362.43
4021,539010,Cutest studio in Paris Eiffel Tower,1406428,Caroline,,Palais-Bourbon,48.85822252926425,2.2971846587893743,Entire home/apt,70,5,56,2016-05-26,1.16,1,244,358.67
